"","Site.ID","MAP_mm","vcmax25_Own","lnNarea_gm2_mean.","lnNarea_sd","Group.1","x","predictednarea","ln_prenaera"
"1",1,398.38,84.8732416891632,0.0248982307695092,0.537654514732584,1,69.5846428247272,1.66855964470894,0.511960766073477
"2",2,380.18,84.9136220947148,0.724773542454849,0.201075118759105,2,64.4923156747939,1.57145771776742,0.45200367124123
"3",3,555.22,63.1196619618081,-0.250978661415595,0.402890799515433,3,38.7021015341085,0.991688787148704,-0.00834594355085881
"4",4,582.84,61.4184895938594,-0.281378309235794,0.452879574142972,4,37.813027801826,0.967902789390314,-0.0326236209319655
"5",5,568.01,63.0628594135695,-0.150991576990127,0.320778090022118,5,33.5359967652201,0.892788975869982,-0.113405035247206
"6",6,568.96,62.6659131579397,-0.321339763446059,0.402166988407667,6,37.6382164135676,0.9695535861309,-0.030919533902267
"7",7,554.73,64.367872103075,-0.464561987293182,0.281241047023085,7,36.2641991575994,0.950117692322449,-0.051169415405659
"8",8,635.3,71.6226243946719,-0.372593668965009,0.324484395996337,8,32.8442087336379,0.91381488439117,-0.0901272615295364
"9",9,709.95,67.5004315726525,-0.290370041243498,0.400572111244357,9,36.7882504282982,0.972657309471106,-0.0277234587600143
"10",10,621.93,71.6909113540281,0.2081921878807,0.38076204388519,10,45.5627255320819,1.15701170307888,0.145840563181019
"11",15,382.19,75.6845363201786,0.125550835285042,0.456678930119962,15,63.2079380539114,1.51000976211042,0.412116115779725
"12",16,371.17,71.6484818014651,0.495354997085637,0.250173214365245,16,66.4648761181256,1.55607306106206,0.44216537906394
"13",17,384.15,78.6041790892112,0.709933708170871,0.384230135692325,17,64.7215027761125,1.55059741938059,0.438640288529825
"14",18,383.95,80.8783102798769,0.241369214729843,0.37860304781432,18,61.8977133977976,1.50575956701744,0.409297466577456
"15",20,376.77,82.2327380325499,0.26018830126945,0.403239131979056,20,66.6434332084715,1.601820526412,0.471140811416427
"16",21,400.52,104.874519153557,0.368869661775066,0.258359020094493,21,51.0688822860012,1.39491372827685,0.332832569831799
"17",22,370.36,107.687297394022,0.59713575001,0.413530349297914,22,53.3210824863411,1.4491818650652,0.370999166204762
"18",23,350.54,107.257613349062,0.652632885655361,0.284962107436154,23,53.1622856592441,1.44443010948781,0.367714855875325
"19",24,337.67,103.350262110323,0.3803930400165,0.367219949120564,24,53.8698301535403,1.44231480437391,0.366249325975306
"20",25,316.03,104.561413909726,0.435269107814682,0.344168438399188,25,58.5857058770843,1.53723263789121,0.429983811522717
"21",26,263.23,103.368222496152,0.676272098391782,0.402514279696129,26,64.784249903234,1.65085206313638,0.501291556523748
"22",27,227.09,107.769711586715,0.624828306866436,0.38524673237826,27,69.6105488049069,1.76064032852058,0.565677565905572
"23",28,200.2,107.511900270186,0.807464137278795,0.384460830256114,28,78.7962780710826,1.93505651223842,0.660136531346452
"24",29,175.71,101.643042726013,0.590028614734643,0.349409293986888,29,89.2297774815913,2.11086092080245,0.747095883608373
"25",30,155.12,94.283974961507,0.759305194028075,0.283356414120484,30,97.6020148033775,2.24133438259054,0.80707139501789
"26",31,151.04,95.3033047948721,0.657358520048745,0.424326457979556,31,100.554425060649,2.30180273783788,0.833692614984983
"27",32,145.05,97.4142547265181,0.758506897459812,0.367195015328577,32,100.152811872346,2.30257572566788,0.834028377061619
"28",33,145.18,95.3702098777583,0.784185320888749,0.491426323349416,33,100.199742587615,2.29529592293449,0.830861777655259
